epoch;auc;loss;val_auc;val_loss
0;0.58375204;0.6903695234597897;0.6295527219772339;0.7083027958869934
1;0.6678174;0.60924783262552;0.6897000074386597;0.6590763330459595
2;0.70642823;0.5921484686814102;0.7099447250366211;0.658065915107727
3;0.72259176;0.5646089055958916;0.7274728417396545;0.6493351459503174
4;0.7379091;0.5423453438048269;0.7397286891937256;0.6800965070724487
5;0.7497986;0.5119043001941607;0.7541424632072449;0.646243155002594
6;0.7614666;0.5050761538159614;0.7630974054336548;0.6981703042984009
7;0.7694458;0.4953445178387212;0.7699072360992432;0.7419688701629639
8;0.77444917;0.5010806592305501;0.7732535600662231;0.7977036833763123
9;0.77890646;0.4727437376976013;0.7760025262832642;0.9280628561973572
10;0.78167975;0.45757293084088496;0.77845698595047;0.980597734451294
11;0.782808;0.45579641283727157;0.7813326120376587;0.9203668236732483
12;0.7848826;0.461901430943433;0.782017707824707;1.0020124912261963
13;0.7864064;0.42748839913630016;0.784137487411499;1.0190725326538086
14;0.7885688;0.4315804814591127;0.7852941155433655;1.0534003973007202
15;0.7888831;0.42908201355560155;0.7864468097686768;1.0305850505828857
16;0.79001886;0.4043600661614362;0.7891247272491455;0.9706889986991882
17;0.79258424;0.4153424758537143;0.7938904762268066;0.6851414442062378
18;0.79745424;0.39024096481940324;0.7957527041435242;1.009704351425171
19;0.798513;0.42556834587863845;0.7983660697937012;0.8250072002410889
0;0.5582528;0.7694194199524674;0.5839524269104004;0.6847544312477112
1;0.6149372;0.652660004531636;0.6342129111289978;0.6708304286003113
2;0.6606549;0.5821124139954063;0.6754761934280396;0.6666987538337708
3;0.6925367;0.5635716969826642;0.7000219225883484;0.6716800928115845
4;0.71123636;0.5516269383243486;0.7147062420845032;0.6817258596420288
5;0.7230158;0.5405916015307108;0.7267119884490967;0.6910967826843262
6;0.7348106;0.51047143480357;0.739325225353241;0.6866658329963684
7;0.7473222;0.4945254560545379;0.7499418258666992;0.6984837651252747
8;0.7564101;0.5143355941772461;0.755750834941864;0.7653823494911194
9;0.7622868;0.47465732967152313;0.7622507810592651;0.812643826007843
10;0.7673459;0.477747132731419;0.7692384123802185;0.7062824964523315
11;0.77415156;0.4497780697719724;0.7749119997024536;1.1378575563430786
12;0.7808773;0.4114214315601424;0.7828280329704285;0.85337895154953
13;0.78788644;0.4036464674098819;0.7909396290779114;0.6511975526809692
14;0.7961256;0.38140132258920106;0.7977709174156189;0.7455590963363647
15;0.80204666;0.38362086588261174;0.8042925596237183;0.6661059856414795
16;0.80835646;0.35493978566983164;0.8113924264907837;0.6001858711242676
17;0.81556386;0.3381098634121465;0.8181981444358826;0.5789863467216492
18;0.8213693;0.37379361033439634;0.8200601935386658;2.5876355171203613
19;0.8230623;0.3551782983424617;0.8222540020942688;2.2308812141418457
0;0.5836266;0.8883028778842851;0.6234250068664551;0.6569923162460327
1;0.6745063;0.6877090860348122;0.6927807927131653;0.6647960543632507
2;0.71663845;0.6349808248351602;0.7272432446479797;0.6612414121627808
3;0.7430955;0.5905793798203561;0.7492070198059082;0.6651489734649658
4;0.7656275;0.5469496873780793;0.7682209610939026;0.6853204369544983
5;0.78119195;0.49335270269244325;0.784785270690918;0.7003559470176697
6;0.79525095;0.45996723731358846;0.7982761263847351;0.7174957990646362
7;0.8073823;0.4485835252556146;0.8082780241966248;0.7533188462257385
8;0.8171071;0.398230474579568;0.815424919128418;1.0138041973114014
9;0.82229775;0.4013846360468397;0.8227564692497253;0.7875111699104309
10;0.8303255;0.3550990319252014;0.8312684297561646;0.803196907043457
11;0.83724797;0.3722489171635871;0.8376929759979248;0.8027305006980896
12;0.8421629;0.36149666274295134;0.8403873443603516;1.1194528341293335
13;0.8455614;0.32006266703792646;0.8471431136131287;0.710014283657074
14;0.8518053;0.34148096888673074;0.8513125777244568;0.9114267230033875
15;0.85525054;0.3249818998224595;0.855785071849823;0.765249490737915
16;0.859756;0.2955849418219398;0.8578490018844604;1.371085286140442
17;0.86140954;0.28597619047351913;0.8623855113983154;0.7676689028739929
18;0.86568433;0.2823976147876066;0.8682006597518921;0.4926014542579651
19;0.87117404;0.2678148728141598;0.8714402914047241;0.8552969098091125
0;0.5185121;1.018106874624888;0.5220438241958618;0.6592521667480469
1;0.55400133;0.7723881129190033;0.5738813281059265;0.662125289440155
2;0.6025931;0.6847171008820627;0.6202243566513062;0.6674566864967346
3;0.63755953;0.6718265434339935;0.6460356712341309;0.6708270311355591
4;0.6623161;0.6126393830074983;0.6729006171226501;0.6641186475753784
5;0.6885386;0.5803733977149514;0.6966027021408081;0.6623403429985046
6;0.7089325;0.5572353749649197;0.7155043482780457;0.6439509987831116
7;0.7260271;0.5162909504011566;0.7329219579696655;0.6369614601135254
8;0.74256116;0.5164876080961789;0.7472288608551025;0.6361085772514343
9;0.7547549;0.5042571042565739;0.7571344971656799;0.6670638918876648
10;0.76346344;0.48959998355192297;0.7655252814292908;0.6956005096435547
11;0.7714318;0.46184508632211124;0.77492356300354;0.64687180519104
12;0.7803896;0.4590650846677668;0.7832005620002747;0.6339494585990906
13;0.78804123;0.4496747677232705;0.7902625799179077;0.6597521901130676
14;0.79441106;0.43645318980310477;0.7953194975852966;0.7589799761772156
15;0.8002421;0.4097352225873985;0.8010203242301941;0.7359507083892822
16;0.80462015;0.41015659409410815;0.807299017906189;0.614080548286438
17;0.8112416;0.3945796489715576;0.8134658336639404;0.589771568775177
18;0.8174671;0.36205879819159414;0.8185769319534302;0.7609223127365112
19;0.8224589;0.3455909477963167;0.8226193785667419;0.8424569964408875
0;0.5999164;0.7379163504581825;0.6296900510787964;0.7113673090934753
1;0.6731278;0.5909585115488838;0.6975581049919128;0.6893709897994995
2;0.72241974;0.56503767581547;0.7297223806381226;0.6652960181236267
3;0.7446642;0.5143132927838494;0.7554489374160767;0.65223628282547
4;0.7684473;0.48293920926019257;0.7754412293434143;0.6467684507369995
5;0.786217;0.4429429470324049;0.7919960021972656;0.6017233729362488
6;0.8019799;0.41281528853902627;0.8059625029563904;0.5917937755584717
7;0.81346846;0.3949531911401188;0.8175197839736938;0.5868986248970032
8;0.82472104;0.3722661523959216;0.8283673524856567;0.5725641250610352
9;0.8338965;0.3690401843716116;0.8346185088157654;0.6669582724571228
10;0.8406683;0.33661033127822126;0.8400207757949829;0.7712723612785339
11;0.84496164;0.33143265107098746;0.8466190099716187;0.5939145088195801
12;0.85143197;0.30300135914017173;0.8510437607765198;0.8395248055458069
13;0.85583484;0.31011530076756194;0.8554297685623169;0.7553574442863464
14;0.8593566;0.306467950554455;0.85809725522995;0.8877977132797241
15;0.86119306;0.31253883291693296;0.8606572151184082;0.8320516347885132
16;0.8633825;0.31892034301570815;0.8615970015525818;1.0245743989944458
17;0.8646477;0.28431902731166164;0.8650448322296143;0.779417872428894
18;0.8682377;0.2559966430827683;0.8684996962547302;0.8300008773803711
19;0.8714531;0.2483007538318634;0.8708508610725403;1.0483744144439697
0;0.4961551;1.1475569381900863;0.5380914211273193;0.6788345575332642
1;0.5566553;0.7328380825472813;0.577875554561615;0.621795654296875
2;0.6017679;0.6510193495189442;0.6214951872825623;0.6104632019996643
3;0.6367292;0.6307169543060602;0.6473972201347351;0.6154351234436035
4;0.6623564;0.611754057267133;0.669865071773529;0.631557047367096
5;0.68229854;0.5786223433999454;0.6889660954475403;0.6116623878479004
6;0.69820875;0.5614715155433206;0.7037227153778076;0.6106687188148499
7;0.7123686;0.5562781073532852;0.716010570526123;0.6078076362609863
8;0.721847;0.5604109913695092;0.7247272729873657;0.6109428405761719
9;0.7306757;0.5411855224067089;0.7323613166809082;0.6311473250389099
